filename,algorithm,amountofmoves,states,time
gameboards/Rushhour6x6_1.csv,BFS,21,88,0.8205380439758301
gameboards/Rushhour6x6_1.csv,Random,4852,None,1.834897756576538
gameboards/Rushhour6x6_1.csv,Random,2118,None,0.8618955612182617
gameboards/Rushhour6x6_1.csv,Random,3948,None,1.3465
gameboards/testboard4x4.csv,Random,31,None,1.286
gameboards/testboard4x4.csv,Random,65,None,0.8816
gameboards/testboard4x4.csv,Random,98,None,0.9696
gameboards/testboard4x4.csv,Random,15,None,0.9316
gameboards/testboard4x4.csv,Random,52,None,0.9476
gameboards/testboard4x4.csv,Random,14,None,0.8901
gameboards/testboard4x4.csv,Random,16,None,1.0774
gameboards/testboard4x4.csv,Random,39,None,0.9223
gameboards/testboard4x4.csv,Random,37,None,0.8618
gameboards/testboard4x4.csv,Random,32,None,0.9401
gameboards/testboard4x4.csv,Random,8,None,0.8163
gameboards/testboard4x4.csv,Random,47,None,0.9291
gameboards/testboard4x4.csv,Random,83,None,0.9167
gameboards/testboard4x4.csv,Random,13,None,0.8099
gameboards/testboard4x4.csv,Random,5,None,0.8139
gameboards/testboard4x4.csv,Random,42,None,0.883
gameboards/testboard4x4.csv,Random,16,None,0.8292
gameboards/testboard4x4.csv,Random,13,None,0.8248
gameboards/testboard4x4.csv,BFS,3,0,0.012
gameboards/Rushhour6x6_2.csv,Random,801,None,2.3745
gameboards/Rushhour6x6_2.csv,Random,3290,None,4.6189
gameboards/Rushhour6x6_2.csv,Random,1536,None,3.6791
gameboards/Rushhour6x6_2.csv,BFS,15,706,16.7335
gameboards/Rushhour6x6_3.csv,BFS,33,264,46.7587
gameboards/Rushhour9x9_4.csv,BFS,27,94158,3236.0586
gameboards/testboard4x4.csv,BFS,3,0,0.0073
gameboards/testboard4x4.csv,BFS,3,0,0.514
gameboards/testboard4x4.csv,BFS,3,0,0.5128
